record_id,area_id,service_type,units_processed,processing_cost,operation_date
ee2ca3db-00b4-4a00-bf4e-bf1127e4e085,204,Service_2,80,745.91,2024-06-16
d623f191-6e6e-46a5-bbb0-aaef9d93379c,322,Service_2,480,970.63,2024-09-07
0477e252-7e56-4d6e-87ac-c8fe32c79325,99,Service_2,449,942.5,2024-09-27
296a3ebb-6a4c-4f49-94d9-953768caeb8e,67,Service_2,436,20.42,2023-12-27
0059d878-5218-4331-8fc4-354af043fba1,207,Service_2,442,202.74,2025-03-15
a95502d0-e8b1-407a-9436-9701e513381d,67,Service_2,491,639.85,2025-03-05
8ed3c19d-10d1-4a05-89f0-4e65c02c8cf7,225,Service_2,409,715.37,2025-08-06
d60dc5e3-0eb0-41e9-b421-15b05df74549,88,Service_2,153,279.98,2025-03-03
018350ce-0d0e-4ec1-a7fe-6689e2e8a443,100,Service_2,452,604.65,2023-12-23
ad6a2072-3ac4-40ba-b2f1-80835195e371,30,Service_2,120,429.67,2024-11-12
20746f15-80dd-496d-9c93-da2e198e8065,179,Service_2,173,210.02,2024-03-31
f9325c6b-a57c-48c2-8944-23c00539030f,207,Service_2,498,410.42,2024-05-23
26e8822c-ffd3-4003-8e38-cca4379d6ad5,205,Service_2,3,605.7,2025-04-23
15b81dce-702c-4d3b-9784-5c06d9c93386,252,Service_2,1,807.3,2025-02-22
e803a2de-3d5b-4d35-b147-0c13114f0fef,316,Service_2,78,169.89,2025-10-31
67144237-d3bd-4351-b99e-5369bed8a196,322,Service_2,182,920.37,2024-09-05
cd911c2c-90ab-461c-84ac-8d911154f74e,92,Service_2,10,888.88,2023-12-25
4d989c4f-5687-4527-917b-1672be8adb90,249,Service_2,362,262.59,2023-11-29
a80d4d83-c29f-4710-896d-ac7870bc01c5,266,Service_2,490,135.74,2024-06-29
ef3cd6c3-1949-4de2-9f1d-00d2adbe9931,78,Service_2,17,861.05,2024-08-22
63911699-73f0-41f7-b5d0-c17d4ca6a5b8,33,Service_2,223,759.48,2025-03-11
cb5fbf22-7cf6-4eb4-98d9-543effffee00,217,Service_2,92,261.12,2025-04-21
554438ec-2144-4088-bcfa-2c8fcb6dc5ab,185,Service_2,350,49.76,2025-09-09
35ad9083-b167-43a7-85e5-ed789a20894b,122,Service_2,368,576.68,2025-04-24
e0de9d45-9863-41be-bfed-a3305f1be2a1,196,Service_2,322,351.39,2025-09-21
bff7073a-6a80-45be-b48c-1f8cfd788447,203,Service_2,262,856.16,2024-06-18
4ea9dcf6-8eff-4eeb-a955-32a26062ebac,54,Service_2,358,926.79,2024-01-08
56e43fb9-8437-4fd3-96b4-f229788da5d9,157,Service_2,466,370.61,2024-09-15
7b6100a2-2511-46f3-aadb-4945f09e5ee5,87,Service_2,301,303.29,2024-09-01
8c7a3039-b89f-489e-9b4f-328ff5940aea,228,Service_2,352,400.71,2024-06-13
e8d205ac-4dd2-4034-9168-6da236ecd747,246,Service_2,278,507.27,2024-08-31
b52edb82-0345-49a5-9d39-ef6bcf36ccdb,197,Service_2,488,603.57,2025-02-17
4fc39a57-a45b-45be-822d-f9bc67dac81a,63,Service_2,158,813.64,2025-11-12
571117d3-8b2f-4ea3-bc17-8d65e01c8924,15,Service_2,10,166.45,2025-08-22
0f578c96-e2c3-4524-a5b4-591e49341c84,19,Service_2,293,176.61,2025-06-06
76bd36d3-4bc7-4eef-b228-577b576d3a37,148,Service_2,162,212.57,2024-05-29
28eb7d4f-c426-4cc4-9544-c1b2c450ce69,80,Service_2,468,276.73,2023-12-23
b5e975dd-fcf5-48b8-ac5b-e2e9e21377db,223,Service_2,264,932.14,2024-08-11
28af30e5-f835-42e8-a44a-0eaa54a701c8,103,Service_2,212,535.45,2025-06-24
24e2d9ea-0082-4939-8901-97403a04a7a3,233,Service_2,390,216.58,2025-10-27
0beab85e-8ebf-46db-b50b-eea75c983b1c,79,Service_2,158,483.63,2024-07-18
a0389898-8110-47e7-9662-58503dd8ab64,273,Service_2,217,940.28,2024-11-26
987b2a4b-1117-4f6c-b51f-0d9c81f11409,292,Service_2,283,654.89,2025-10-14
b41a3142-bbb7-4b11-9406-9fa24c769a12,291,Service_2,343,84.76,2024-02-29
afb0df19-d239-4550-8bac-cff7d4a7da4f,82,Service_2,206,311.16,2024-05-28
4b130560-8534-452d-b42d-34d0231fc0ad,114,Service_2,192,214.59,2023-12-11
711df546-2f54-407d-a4be-b2416b45ba49,132,Service_2,308,235.73,2025-03-07
929d26d3-8d22-41d9-80fc-7b378ff6adde,240,Service_2,164,301.89,2024-06-24
d6bb5668-e6e7-48f6-9f04-01890d524b5f,227,Service_2,148,311.82,2025-03-09
1ecc1cd7-fe47-4afe-9d37-8d34c1143faa,276,Service_2,358,889.36,2023-12-21
b8930456-1dba-49c6-b5dd-f2a749a8f0c3,41,Service_2,108,557.62,2024-04-25
948eaa43-d494-4478-b284-b03d6947826d,286,Service_2,171,941.94,2024-02-01
bdb1eb4d-91ae-45e2-a383-f76e8cb59740,215,Service_2,332,113.35,2024-10-19
e3436b7d-e5f7-42be-9fd9-88b8beaad474,280,Service_2,116,942.32,2024-05-04
817e3d31-bb6c-4d9a-a253-73782557e4ca,187,Service_2,330,262.41,2024-10-04
80a13b7a-16c6-4c47-835c-a39ac7f9dbb2,309,Service_2,230,813.97,2025-06-13
413b8f02-d614-4670-a31c-50482c8f0041,4,Service_2,222,877.73,2023-12-10
451356b8-fb46-4207-8012-ea6fbc418d4c,169,Service_2,401,510.97,2024-08-15
ba927f55-b72f-4cf5-9ec3-290e6da39af5,210,Service_2,373,236.9,2024-02-21
900a4b43-4c34-44ce-988b-eb21e298a794,78,Service_2,376,842.35,2023-12-20
b3e3c89b-9621-452c-bc7a-5534ef5221ed,44,Service_2,233,985.38,2025-02-22
8ed6e13f-4389-4db7-9e49-3d74ea066589,302,Service_2,391,126.76,2025-09-05
60aa54e6-700e-41fa-9ee9-46efea221852,297,Service_2,427,85.27,2025-05-06
6d3f20ca-d690-4c68-bb56-4da97db44f55,256,Service_2,196,709.96,2025-03-20
8a53c476-3c7a-4e20-98a6-700807fc714d,100,Service_2,113,473.73,2024-06-07
cb5d8911-32e7-4437-8884-1378dc6319d3,269,Service_2,59,138.75,2024-10-28
82aa10ff-23a5-4a5f-a6bd-d6c45623bbfb,14,Service_2,228,556.39,2025-01-19
d6accb09-306f-4c7b-bd31-03af70b5a1b0,141,Service_2,202,294.5,2024-12-06
ee46a558-bbe0-4a4b-be5e-9e14a3a01fec,268,Service_2,283,695.44,2024-12-13
ffc042af-7740-43d4-8e52-c22cc72ce1e0,214,Service_2,483,71.86,2025-11-20
2fb4483b-da5b-4e22-84e9-eb9ba08779cd,155,Service_2,427,977.18,2025-01-16
42b8e3c2-a978-4014-8142-f5cd0cf3ec49,283,Service_2,197,646.04,2024-07-07
f6cb36b4-7eac-406f-93e3-2c5f93657974,236,Service_2,16,333.06,2024-08-11
da0f59a3-d3cb-44cd-bcad-1ddbfdaf9a37,82,Service_2,16,852.26,2024-07-31
49dd32e4-fd02-4efe-af58-92586528e2b6,194,Service_2,436,783.97,2024-06-25
6d3216de-3710-486d-bf4b-df637908be48,170,Service_2,270,707.53,2024-07-17
9c7df3e8-ae1f-45de-b1e3-275e0657e415,221,Service_2,294,799.05,2025-02-23
4ec72e33-120b-4f2e-9b46-ecc1bb51c804,204,Service_2,235,876.19,2024-11-02
43c2259b-7206-413a-abac-ce04c3c98877,24,Service_2,101,864.37,2025-03-03
55429e28-1f2f-4c02-bcff-9411783a0c6f,305,Service_2,401,407.39,2024-05-05
88b3ac5c-8188-4908-a112-b36135dd22ae,180,Service_2,463,831.97,2024-10-18
d6f62799-6d20-4dd2-b501-be4a339e3019,223,Service_2,295,989.07,2025-09-01
6846c4d5-ab21-42d2-87aa-38c562aac4c8,251,Service_2,414,523.53,2025-04-29
a1a193cf-1b8d-4760-a08c-dcc1ed72bc6d,78,Service_2,288,515.88,2024-06-07
bc97611a-2c1b-488a-837e-ec4601842368,235,Service_2,172,143.69,2025-03-20
deb6b162-47d7-46fe-98f9-963eb1857ffc,270,Service_2,157,448.11,2024-11-21
30747c80-9fe0-4715-90d2-4b9c5d8edad0,155,Service_2,381,796.11,2025-10-22
46764f0d-d437-4fec-a3e2-d61405da1a69,12,Service_2,58,701.06,2025-10-04
287630e7-9e50-41c6-b2b8-c0cdd70783e8,88,Service_2,355,548.17,2024-03-23
1e1f65c7-1a02-42de-bf6f-770b4b48d50b,53,Service_2,107,272.05,2025-09-09
08446da9-5ee1-4d78-9875-8555117a4adc,187,Service_2,202,934.47,2024-08-26
686e6df7-b64c-4191-8d0f-c63e6b982707,56,Service_2,201,217.07,2025-08-07
9f8e2fc3-1d1c-409a-b8c9-173a89fc193d,180,Service_2,106,522.17,2025-02-12
a770a82d-3be6-461e-875f-cbc86e55f605,144,Service_2,238,455.78,2023-12-02
eba22a06-7df7-4130-a81e-27952c20010b,306,Service_2,456,434.46,2023-12-21
7f00e250-3f45-4f68-a113-82322b77f1b2,284,Service_2,286,242.72,2024-10-20
db7e32c6-8ed6-4b66-961e-78620d261695,288,Service_2,328,874.88,2025-07-31
e2834350-5cd9-4376-aa76-bf079392c338,150,Service_2,21,675.57,2025-09-23
55ec7e5d-d776-4ab1-8180-d89fd8e14cd1,245,Service_2,460,394.75,2025-05-08
59b9cf9c-fc11-49c6-8d9e-5312be364a51,145,Service_2,75,338.05,2025-01-18
