record_id,area_id,service_type,units_processed,processing_cost,operation_date
b1520930-5b84-4d78-ba4b-7381a5cd4ec1,314,Service_8,168,473.06,2023-11-24
6ca220f7-e42a-4bda-a76d-6d89afdcdc86,97,Service_8,499,134.46,2025-02-21
9113ac92-e8b6-4a05-893b-c80a4eb0e9be,279,Service_8,305,776.08,2024-10-04
b97eb490-9ae7-4310-87c8-aa882629b50a,96,Service_8,52,524.16,2024-10-28
5968a18f-43f1-4e1e-a5c6-a2c74765e7c3,307,Service_8,95,828.59,2025-04-14
c76e0177-88da-4fe5-bfc7-4a2945910477,113,Service_8,376,663.52,2024-07-22
33eeed39-3ae3-4a35-afc0-25702d1a6ba1,64,Service_8,430,82.29,2025-04-07
7c4fefa3-21fd-4861-b51b-7d1f71dc9220,60,Service_8,32,991.28,2024-02-05
e739f1f9-12a3-45b4-83dd-adeba4e2f9f1,33,Service_8,190,491.41,2025-04-08
552313fb-e51f-4d36-b4b4-88034e57ae39,11,Service_8,198,827.56,2024-05-08
518b47fb-c913-465c-871d-dc7a9ed459c0,13,Service_8,179,255.25,2024-11-01
940a7439-dc3d-4d90-b8ef-881471ff361a,104,Service_8,343,243.9,2024-12-24
96f36677-807c-4ff6-b4ba-7f126a86d43a,302,Service_8,157,607.73,2024-03-26
3a1e73a7-f42d-4cab-96f5-b44029a4665a,261,Service_8,239,328.64,2024-06-18
e793e39f-250d-4334-a4f8-29573bf56be9,109,Service_8,301,958.1,2023-11-28
815f941b-ace2-479a-b337-37fe960fe9c8,101,Service_8,328,370.61,2024-06-23
8e8b68e0-55fe-4d1d-8d35-1beb0afe5fcf,10,Service_8,213,275.02,2024-11-19
0e2c3924-ac3f-461a-8c1e-719f11f4bcd3,276,Service_8,10,763.47,2025-07-02
6225cbd8-fd2c-4cd6-8c2c-591c0cc1141a,69,Service_8,202,849.48,2024-12-05
3185535b-3b53-4556-b313-c50588e2c2ef,100,Service_8,433,796.77,2024-03-27
d023bc17-2bd5-471f-9e69-9db8ed3aa795,101,Service_8,227,53.95,2024-10-11
2c6ab3f3-3e67-467a-a03c-bc0be4ae920e,114,Service_8,33,717.53,2024-06-08
0c8f4515-9969-4d9a-8a91-8f31b6103c05,324,Service_8,111,907.23,2025-02-08
41cf49cb-e31b-46eb-9f39-fb620e8144a5,92,Service_8,442,857.14,2024-07-19
f5081ee4-78b4-43e3-86d1-8b1b3d433421,179,Service_8,7,418.7,2023-11-30
0052a5fe-e90b-4061-b4ac-f6813853c42a,134,Service_8,372,23.25,2025-08-28
f84f1243-f026-458e-b0fe-b10ada5bffca,92,Service_8,94,444.11,2024-04-02
b45c637e-315b-4cc7-a5cb-525c4b0de4b2,50,Service_8,366,326.18,2025-04-22
f7b42115-7e74-4105-87f4-5868b9a17b32,252,Service_8,410,142.22,2025-05-11
f31460b0-7f74-4210-9d86-76b31e1e8010,184,Service_8,360,364.5,2024-03-07
67c9599b-5837-46c9-8d5a-1aec875b9f02,216,Service_8,398,589.26,2024-05-01
6cd35a0e-b0b8-470b-bfd9-6d111fea075f,259,Service_8,489,144.62,2025-06-29
c9323891-5e75-4a77-a2ef-d0d90c486fa6,144,Service_8,439,302.12,2024-09-14
2dcb167e-8f86-4b7f-b4d6-14b1355a02e5,173,Service_8,168,668.15,2023-11-30
dc032510-7dc5-433a-a4b9-4b06fcf5c90a,58,Service_8,260,315.41,2024-10-24
f7f59e1e-dc64-43c0-8b5a-8761404e7dfb,47,Service_8,67,32.5,2025-06-04
1d6c75f5-2f98-436b-a61b-e8f7127e6ce6,185,Service_8,314,395.07,2025-11-01
c1d0162b-4c77-4dc7-8cf0-18b6a3f927e4,244,Service_8,364,385.65,2024-05-28
08f840c2-d22c-4527-bce7-06a3ec3027e8,323,Service_8,257,266.42,2024-12-12
fa31f723-094f-43c8-b93c-2b8462ac5371,144,Service_8,225,581.27,2024-07-17
9bca8311-1fd6-4911-9e7a-2338c0ec8dbb,211,Service_8,191,86.19,2024-06-04
